scheduler,dag_type,cluster,n_tasks,n_edges,ccr,edge_density,seed,makespan,speedup,efficiency,imbalance,slr,runtime_ms,seq_time,cp_length
HEFT,random,homogeneous,10,9,0.1,0.2,4,24.65698918745801,4.136891529778454,1.0342228824446136,0.17350086468909906,0.7420268423158202,0.2434019999668635,102.00328971943397,33.229241560190815
CPOP,random,homogeneous,10,9,0.1,0.2,4,27.14436739528491,3.7578068493558763,0.9394517123389691,0.3611945392149858,0.8168819425540038,0.46067599998877995,102.00328971943397,33.229241560190815
HEFT-LC,random,homogeneous,10,9,0.1,0.2,4,24.65698918745801,4.136891529778454,1.0342228824446136,0.07101759406689286,0.7420268423158202,0.3273799999874427,102.00328971943397,33.229241560190815
Random,random,homogeneous,10,9,0.1,0.2,4,50.598168916775734,2.0159482428545936,0.5039870607136484,0.8039954041872492,1.5227000840546774,0.06406699998251497,102.00328971943397,33.229241560190815
HEFT,random,cpu_gpu,10,9,0.1,0.2,4,10.549599934245874,9.668924921817478,2.4172312304543695,0.12707037940508537,0.31747940786239526,0.270160000013675,102.00328971943397,33.229241560190815
CPOP,random,cpu_gpu,10,9,0.1,0.2,4,10.549599934245874,9.668924921817478,2.4172312304543695,0.12707037940508537,0.31747940786239526,0.5132099999514139,102.00328971943397,33.229241560190815
HEFT-LC,random,cpu_gpu,10,9,0.1,0.2,4,10.549599934245874,9.668924921817478,2.4172312304543695,0.12707037940508537,0.31747940786239526,0.2450149999617679,102.00328971943397,33.229241560190815
Random,random,cpu_gpu,10,9,0.1,0.2,4,48.300508119971695,2.1118471355637105,0.5279617838909276,0.9263749983984859,1.4535543350419562,0.05116899995982749,102.00328971943397,33.229241560190815
HEFT,random,edge_cloud,10,9,0.1,0.2,4,25.76429268987082,3.9590952853728583,0.9897738213432146,1.0031973960975096,0.775350007408441,0.2246139999897423,102.00328971943397,33.229241560190815
CPOP,random,edge_cloud,10,9,0.1,0.2,4,32.997794814535894,3.091215346138839,0.7728038365347097,0.5853705138239105,0.9930348471771261,0.3760089999786942,102.00328971943397,33.229241560190815
HEFT-LC,random,edge_cloud,10,9,0.1,0.2,4,25.76429268987082,3.9590952853728583,0.9897738213432146,1.0031973960975096,0.775350007408441,0.2481039999793211,102.00328971943397,33.229241560190815
Random,random,edge_cloud,10,9,0.1,0.2,4,88.16204673566693,1.1569977501233237,0.28924943753083093,0.8503632297776481,2.6531465238522487,0.04837299997006994,102.00328971943397,33.229241560190815
HEFT,random,highly_hetero,10,9,0.1,0.2,4,13.763650529791253,7.411063619978515,1.8527659049946288,0.6077172680573079,0.4142029695399469,0.25947400001768983,102.00328971943397,33.229241560190815
CPOP,random,highly_hetero,10,9,0.1,0.2,4,15.934870455908136,6.401262564491978,1.6003156411229944,0.6627624219393728,0.4795436100172198,0.43348600001991144,102.00328971943397,33.229241560190815
HEFT-LC,random,highly_hetero,10,9,0.1,0.2,4,15.26101298158146,6.683913436319194,1.6709783590797984,0.5877552822550364,0.4592645593170688,0.2423739999812824,102.00328971943397,33.229241560190815
Random,random,highly_hetero,10,9,0.1,0.2,4,59.99078529624998,1.7003159604548497,0.4250789901137124,0.8243799047047116,1.8053612565181127,0.11788100005105662,102.00328971943397,33.229241560190815
HEFT,random,homogeneous,10,12,0.1,0.2,5,30.50251781507515,3.4549425031653906,0.8637356257913477,0.49020276519235084,0.6430313942677897,0.3434839999840733,105.38444525286266,47.43550328488692
CPOP,random,homogeneous,10,12,0.1,0.2,5,30.50251781507515,3.4549425031653906,0.8637356257913477,0.39999397344390375,0.6430313942677897,0.35605499999746826,105.38444525286266,47.43550328488692
HEFT-LC,random,homogeneous,10,12,0.1,0.2,5,32.904334269202195,3.2027526948478764,0.8006881737119691,0.24767495230291536,0.6936647023978263,0.2546080000342954,105.38444525286266,47.43550328488692
Random,random,homogeneous,10,12,0.1,0.2,5,62.826502574569446,1.677388378061961,0.41934709451549024,0.3936921682582116,1.3244615999380813,0.05139399996778593,105.38444525286266,47.43550328488692
HEFT,random,cpu_gpu,10,12,0.1,0.2,5,14.446297679989474,7.294910266097981,1.8237275665244952,1.0583550418820227,0.3045461032262749,0.24795399997401546,105.38444525286266,47.43550328488692
CPOP,random,cpu_gpu,10,12,0.1,0.2,5,15.15851883150192,6.952159800326683,1.7380399500816708,0.6579349649382534,0.31956061982653117,0.4215790000330344,105.38444525286266,47.43550328488692
HEFT-LC,random,cpu_gpu,10,12,0.1,0.2,5,14.446297679989474,7.294910266097981,1.8237275665244952,1.0583550418820227,0.3045461032262749,0.4689820000294276,105.38444525286266,47.43550328488692
Random,random,cpu_gpu,10,12,0.1,0.2,5,68.5296506689783,1.537793410941282,0.3844483527353205,0.8919631722801135,1.4446911263364215,0.09691799999700379,105.38444525286266,47.43550328488692
HEFT,random,edge_cloud,10,12,0.1,0.2,5,28.892595359978948,3.6474551330489904,0.9118637832622476,1.0583550418820227,0.6090922064525498,0.2878170000144564,105.38444525286266,47.43550328488692
CPOP,random,edge_cloud,10,12,0.1,0.2,5,42.7238610550523,2.4666414188799175,0.6166603547199794,0.6724436483043599,0.900672662804112,0.4008399999975154,105.38444525286266,47.43550328488692
HEFT-LC,random,edge_cloud,10,12,0.1,0.2,5,28.892595359978948,3.6474551330489904,0.9118637832622476,1.0583550418820227,0.6090922064525498,0.2587559999938094,105.38444525286266,47.43550328488692
Random,random,edge_cloud,10,12,0.1,0.2,5,163.62245103688633,0.644070814151936,0.161017703537984,0.88794739558853,3.449366818229098,0.05794800000558098,105.38444525286266,47.43550328488692
HEFT,random,highly_hetero,10,12,0.1,0.2,5,20.502038914841872,5.140193406645647,1.2850483516614117,0.651627134542237,0.43220873596958076,0.23680300000705756,105.38444525286266,47.43550328488692
CPOP,random,highly_hetero,10,12,0.1,0.2,5,20.809838829158565,5.064164413671426,1.2660411034178565,0.6571161307830213,0.4386975448363934,0.6402719999982764,105.38444525286266,47.43550328488692
